商品,订单号,订单状态,商品总价(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家编码-规格维度,商家编码-商品维度,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
Adidas阿迪达斯 板鞋女鞋低帮缓震透气增高运动板鞋HQ6912,260222-383002908300299,未发货，退款成功,391.0	,0.0	,5.0	,0.0	,0.0	,386.0	,386.0	,1	,	,	,904507432844	,"HQ6912【收藏关注优先发货】,38【正品保障 支持鉴定】",1859678876263	,	,	,	,退款成功,	,	,2026-02-22 09:00:38,否,,	,
adidas阿迪达斯男女BARREDA低帮复古耐磨防滑休闲鞋JQ4238,260222-219529889410368,已收货,264.0	,0.0	,5.0	,20.72	,0.0	,238.28	,259.0	,1	,2026-02-24 15:45:16,2026-02-28 01:00:00,783646754517	,"JQ4238【收藏关注优先发货】,35.5【正品保障 支持鉴定】",1813719991770	,	,	,	,无售后或售后取消,78580249449933	,中通快递,2026-02-22 19:55:31,否,,	,
adidas阿迪达斯男女BARREDA低帮复古耐磨防滑休闲鞋JQ4238,260221-081380011621990,未发货，退款成功,264.0	,0.0	,5.0	,0.0	,0.0	,259.0	,259.0	,1	,	,	,783646754517	,"JQ4238【收藏关注优先发货】,35.5【正品保障 支持鉴定】",1813719991770	,	,	,	,退款成功,	,	,2026-02-21 23:00:41,否,,	,
adidas阿迪达斯男女BARREDA低帮复古耐磨防滑休闲鞋JQ4238,260221-248774725973921,已发货，待收货,264.0	,0.0	,5.0	,0.0	,0.0	,259.0	,259.0	,1	,2026-02-24 15:45:16,	,783646754517	,"JQ4238【收藏关注优先发货】,35.5【正品保障 支持鉴定】",1813719991770	,	,	,	,无售后或售后取消,78580249112505	,中通快递,2026-02-21 22:49:04,否,,	,
阿迪达斯三叶草运动拖鞋男女正品ADILETTELITE户外FU8298,260221-103609833093495,已发货，退款成功,87.2	,0.0	,5.0	,0.0	,0.0	,82.2	,82.2	,1	,2026-02-24 15:45:16,	,789862122416	,38	,1767885755817	,	,	,	,退款成功,78580249452052	,中通快递,2026-02-21 17:10:28,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260221-041041314160510,已取消,320.0	,0.0	,5.0	,20.0	,0.0	,295.0	,315.0	,1	,	,	,896110633104	,"DH2987-001【收藏关注优先发货】,42【正品保障 支持鉴定】",1851257019294	,	,	,	,无售后或售后取消,	,	,	,	,,	,
adidas阿迪达斯三叶草简约时尚PU云朵包HK0158,260221-473264320033348,未发货，退款成功,123.0	,0.0	,5.0	,0.0	,0.0	,118.0	,118.0	,1	,	,	,781824106733	,HK0158,1761453365930	,	,	,	,退款成功,	,	,2026-02-21 15:57:48,否,,	,
adidas阿迪达斯男女BARREDA低帮复古耐磨防滑休闲鞋JQ4238,260221-259470191013550,未发货，退款成功,270.0	,0.0	,5.0	,0.0	,0.0	,265.0	,265.0	,1	,	,	,783646754517	,"JQ4238【收藏关注优先发货】,39【正品保障 支持鉴定】",1813719991776	,	,	,	,退款成功,	,	,2026-02-21 13:09:34,否,,	,
adidas阿迪达斯男女BARREDA低帮复古耐磨防滑休闲鞋JQ4238,260220-343482110332848,未发货，退款成功,270.0	,0.0	,5.0	,0.0	,0.0	,265.0	,265.0	,1	,	,	,783646754517	,"JQ4238【收藏关注优先发货】,39【正品保障 支持鉴定】",1813719991776	,	,	,	,退款成功,	,	,2026-02-20 07:42:10,否,,	,
Nike耐克女子DUNKLOW海盐蓝白耐磨运动休闲低帮板鞋 FB1843-141,260220-529782618451061,未发货，退款成功,491.0	,0.0	,5.0	,20.0	,0.0	,466.0	,486.0	,1	,	,	,806729270148	,37.5	,1779682257743	,	,	,	,退款成功,	,	,2026-02-20 01:04:09,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260219-625223943790385,已取消,320.0	,0.0	,5.0	,20.0	,0.0	,295.0	,315.0	,1	,	,	,896110633104	,"DH2987-001【收藏关注优先发货】,42【正品保障 支持鉴定】",1851257019294	,	,	,	,无售后或售后取消,	,	,	,	,,	,
adidas阿迪达斯三叶草简约时尚PU云朵包HK0158,260219-608436252300440,已发货，退款成功,123.0	,0.0	,5.0	,0.0	,0.0	,118.0	,118.0	,1	,2026-02-24 15:45:16,	,781824106733	,HK0158,1761453365930	,	,	,	,退款成功,78580249455804	,中通快递,2026-02-19 16:19:17,否,,	,
Nike耐克 板鞋蓝白SB FROCE 58街头滑板复古低帮北卡蓝HJ3489-141,260219-493627707800840,已收货,518.0	,0.0	,5.0	,25.0	,0.0	,488.0	,513.0	,1	,2026-02-24 15:45:16,2026-03-06 21:21:53,896112938333	,"HJ3489-141【收藏关注优先发货】,42.5【正品保障 支持鉴定】",1851259580668	,	,	,	,无售后或售后取消,78580249112878	,中通快递,2026-02-19 11:11:40,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260218-398563787043633,已发货，退款成功,315.0	,0.0	,5.0	,20.0	,0.0	,290.0	,310.0	,1	,2026-02-24 15:45:16,	,896110633104	,"DH2987-001【收藏关注优先发货】,43【正品保障 支持鉴定】",1851257019295	,	,	,	,退款成功,78580249112799	,中通快递,2026-02-18 11:59:32,否,,	,
阿迪达斯三叶草运动拖鞋男女正品ADILETTELITE户外FU8298,260218-432778800693691,未发货，退款成功,174.4	,0.0	,5.0	,0.0	,0.0	,169.4	,169.4	,2	,	,	,789862122416	,38	,1767885755817	,	,	,	,退款成功,	,	,2026-02-18 11:29:52,否,,	,
Adidas阿迪达斯 三叶草时尚厚底耐磨凉鞋 IE5651,260218-145217308273399,已收货，退款成功,159.0	,0.0	,5.0	,0.0	,1.0	,154.0	,154.0	,1	,2026-02-24 15:45:16,2026-02-28 13:08:38,792058673878	,"IE5651,40.5",1769504186127	,	,	,	,退款成功,78580249445542	,中通快递,2026-02-18 03:44:34,否,,	,
adidas阿迪达斯 ADILENIUM百搭logo条纹时尚牛仔裤蓝色 JY6292,260217-295331490151133,未发货，退款成功,600.0	,0.0	,5.0	,50.0	,0.0	,545.0	,595.0	,1	,	,	,903893490761	,"JY6292【收藏关注优先发货】,31 【正品保障 支持鉴定】",1858801613759	,	,	,	,退款成功,	,	,2026-02-17 12:07:07,否,,	,
